Date,Datetime,Close_Real_EYAC2,Volume_EYAC2,Close_Dolar_EYAC2,Price_Dolar_Petro,Volume_Petro,Change%_Petro,Índice_Ibovespa,Change%_Ibovespa,Value_IPCA
2022-07-14,2022-07-14 16:56:00,25.18826441,47151008.53,4.750262029231494,92.83,255.52,-1.07%,96120.85,-5.822271973506621,-0.68%
2022-07-15,2022-07-15 16:56:00,29.22319744,38610683.21,5.484422610915096,94.57,189.25,1.87%,96551.0,-6.085024320370969,-0.68%
2022-07-18,2022-07-18 16:56:00,27.75047004,46782333.81,5.244546716307902,99.42,291.7,5.13%,96916.13,-8.782372044803077,-0.68%
2022-07-19,2022-07-19 16:56:00,31.27276473,48562131.08,5.93422355832179,100.74,327.21,1.33%,98244.8,-8.186909012476207,-0.68%
2022-07-20,2022-07-20 16:56:00,27.34885791,43520645.12,5.186092331468664,99.88,315.62,-0.85%,98286.83,-1.5681503559193732,-0.68%
2022-07-21,2022-07-21 16:56:00,28.94311992,58843286.56,5.55519470259688,93.78,106.7,-6.11%,99033.17,-0.6533914500248317,-0.68%
2022-07-22,2022-07-22 16:56:00,30.70570266,55676218.65,5.906419424086791,92.43,106.6,-1.44%,98924.82,-0.6003678370841814,-0.68%
2022-07-25,2022-07-25 16:56:00,32.74155225,79106870.69,6.283643390396499,94.42,92.7,2.15%,100269.85,-9.323546495513057,-0.68%
2022-07-26,2022-07-26 16:56:00,29.8821905,78360249.42,5.75975607640562,92.88,89.07,-1.63%,99771.69,-10.83046116413745,-0.68%
2022-07-27,2022-07-27 16:56:00,31.75157686,56097383.66,6.149830885144295,95.29,105.4,2.59%,101437.96,0.6692496099782064,-0.68%
2022-07-28,2022-07-28 16:56:00,34.46293932,114996833.0,6.683397521574711,94.65,96.14,-0.67%,102596.66,1.993460475402431,-0.68%
2022-07-29,2022-07-29 16:56:00,33.80713614,181480401.8,6.585078817273418,96.75,116.64,2.22%,103164.69,3.556568767530077,-0.68%
2022-08-01,2022-08-01 16:56:00,33.97029946,81365040.08,6.661234868717767,92.39,144.82,-4.51%,102225.08,3.3057615718026456,-0.36%
2022-08-02,2022-08-02 16:56:00,33.2841592,69146800.92,6.576467408270929,93.22,133.9,0.90%,103361.7,-8.035391200387998,-0.36%
2022-08-03,2022-08-03 16:56:00,32.96299294,65544693.6,6.573797527072572,89.74,141.6,-3.73%,103774.68,-6.595397827876148,-0.36%
2022-08-04,2022-08-04 16:56:00,33.46586258,54387430.8,6.53962218704811,87.56,107.06,-2.43%,105892.22,7.386220047792924,-0.36%
2022-08-05,2022-08-05 16:56:00,30.97468922,77882698.08,6.026907658481535,88.08,134.18,0.59%,106471.92,8.319151481708452,-0.36%
2022-08-08,2022-08-08 16:56:00,35.90099899,109484296.0,6.991839638148285,89.93,130.08,2.10%,108402.27,8.08995488435713,-0.36%
2022-08-09,2022-08-09 16:56:00,33.06719294,79051317.86,6.550683044434319,89.67,130.89,-0.29%,108651.05,1.4541843774018126,-0.36%
